Stud#;sex;Birth date ;sire;dam;birth place;current location;Date of death;Age/years;Cause of death;location 2;date;location 3;date;location 4;date;location 5;date;location 6;date;location 7;date;;;;;;;;;
797;f;24.08.1984;491;496;HODENHAGN;;31.12.2011;27,36986301;;HODENHAGN;24.08.1984;GELSNKRKN;13.05.1986;MAN AE;17.02.1987;SERRANOVA;28.02.1987;;;;;;;;;;;;;
798;f;04.08.1984;559;563;W PALM BE;;31.12.2011;27,42465753;;W PALM BE;04.08.1984;ZEEHANDLR;11.04.1985;WINGST ZO;12.04.1985;GELSNKRKN;18.01.1986;BOGOR;17.02.1986;;;;;;;;;;;
799;m;07.08.1984;unk;241;RAMAT GAN;;31.12.2011;27,41643836;;RAMAT GAN;07.08.1984;BROOKER J;26.12.1989;MICA HOPE;01.02.1990;;;;;;;;;;;;;;;
800;m;23.09.1984;89;103;WHIPSNADE;SOFIAZOO;31.12.2011;27,28767123;;WHIPSNADE;23.09.1984;RUSHDEN;12.02.1986;SOFIAZOO;13.02.1986;;;;;;;;;;;;;;;
803;m;03.12.1984;70;105;WHIPSNADE;SO LAKES;03.05.1997;12,42191781;euthanasia;WHIPSNADE;03.12.1984;MARWELL;02.05.1986;SO LAKES;16.04.1997;;;;;;;;;;;;;;;
809;f;15.01.1985;390;391;JACKSONVL;;03.04.1997;12,22191781;;JACKSONVL;15.01.1985;GELSNKRKN;11.10.1985;GRONAU;10.10.1986;RIYADH;02.11.1986;;;;;;;;;;;;;
810;m;09.01.1985;70;106;WHIPSNADE;WHIPSNADE;09.01.1985;0;unk;WHIPSNADE;09.01.1985;;;;;;;;;;;;;;;;;;;
811;f;03.02.1985;70;329;WHIPSNADE;WHIPSNADE;03.02.1985;0;stillbirth;WHIPSNADE;03.02.1985;;;;;;;;;;;;;;;;;;;
812;f;05.01.1985;340;403;MUNSTER;GIVSKUD;31.12.2011;27,00273973;;MUNSTER;05.01.1985;GIVSKUD;03.06.2004;;;;;;;;;;;;;;;;;
826;m;27.02.1985;143;218;TORONTO;;31.12.2011;26,85753425;;TORONTO;27.02.1985;ZEEHANDLR;28.08.1985;GELSNKRKN;29.08.1985;BOGOR;17.02.1986;;;;;;;;;;;;;
827;m;13.08.1985;618;620;KNOXVILLE;;31.12.2011;26,4;;KNOXVILLE;13.08.1985;GELSNKRKN;12.07.1986;ZEEHANDLR;12.07.1986;MAN AE;17.02.1987;SERRANOVA;28.2.1987;UNK;25.11.2002;;;;;;;;;
828;m;23.11.1983;355;352;KNOWSLEY;MARWELL;31.12.2011;28,12328767;;KNOWSLEY;23.11.1983;MARWELL;18.04.1997;;;;;;;;;;;;;;;;;
829;m;25.08.1985;355;352;KNOWSLEY;KESSINGLA;31.12.2011;26,36712329;;KNOWSLEY;25.08.1985;KESSINGLA;15.06.2010;;;;;;;;;;;;;;;;;
831;f;09.07.1985;180;182;SAN ANTON;;31.12.2011;26,49589041;;SAN ANTON;09.06.1985;ZEEHANDLR;26.06.1986;GELSNKRKN;27.06.1986;BROOKER J;13.05.1988;HURN GAME;20.05.1995;;;;;;;;;;;
833;m;21.10.1985;89;102;WHIPSNADE;JERUSALEM;06.07.1995;9,712328767;envrion/behav musculoskeletal trauma;WHIPSNADE;21.10.1985;MARWELL;18.08.1988;JERUSALEM;19.06.1995;;;;;;;;;;;;;;;
834;m;11.08.1985;221;225;HILVARENB;;31.12.2011;26,40547945;;HILVARENB;11.08.1985;NEUWIEDRH;30.10.1986;ALTHOFF C;01.11.1986;;;;;;;;;;;;;;;
835;f;26.10.1985;221;224;HILVARENB;HILVARENB;31.12.2011;26,19726027;;HILVARENB;26.10.1985;;;;;;;;;;;;;;;;;;;
836;f;08.08.1985;491;494;HODENHAGN;;31.12.2011;26,41369863;;HODENHAGN;08.08.1985;GELSNKRKN;15.10.1986;BROOKER J;13.05.1988;KRUGERSDO;01.07.1988;;;;;;;;;;;;;
837;m;14.11.1985;unk;242;RAMAT GAN;;31.12.2011;26,14520548;;RAMAT GAN;14.11.1985;BROOKER J;23.08.1988;KRUGERSDO;30.08.1988;;;;;;;;;;;;;;;
838;m;24.11.1985;unk;641;RAMAT GAN;;31.12.2011;26,11780822;;RAMAT GAN;24.11.1985;BROOKER J;23.08.1988;KRUGERSDO;30.08.1988;;;;;;;;;;;;;;;
840;f;25.12.1984;228;174;ARNHEM;ARNHEM;18.04.1995;10,31780822;unk;ARNHEM;25.12.1984;;;;;;;;;;;;;;;;;;;
843;m;20.08.1985;420;157;SD-WAP;;31.12.2011;26,38082192;;SD-WAP;20.08.1985;ZEEHANDLR;21.04.1987;GELSNKRKN;23.04.1987;BROOKER J;13.05.1988;KUALA LUM;27.01.1994;;;;;;;;;;;
844;m;13.03.1985;200;211;KATOWICE;KATOWICE;13.03.1985;0;stillbirth;KATOWICE;12.05.1985;;;;;;;;;;;;;;;;;;;
846;f;01.08.1986;89;106;WHIPSNADE;WHIPSNADE;01.08.1986;0;unk;WHIPSNADE;01.08.1986;;;;;;;;;;;;;;;;;;;
847;f;01.01.1979;wild;wild;UMFOLOZI;PEAUGRES;31.12.2011;33,01917808;;UMFOLOZI;01.01.1979;SOEST;02.10.1983;LIBEREC;08.10.1983;PEAUGRES;13.05.2005;;;;;;;;;;;;;
852;m;01.01.1970;wild;wild;UMFOLOZI;BLAIRDRUM;02.07.2010;40,5260274;euthanasia;UMFOLOZI;01.01.1971;SOEST;23.07.1972;CHILWORTH;26.07.1972;BEWDLEY;01.03.1973;BLAIRDRUM;11.11.1997;;;;;;;;;;;
853;f;01.01.1970;wild;wild;UMFOLOZI;BLAIRDRUM;07.07.2002;32,53424658;unk;UMFOLOZI;01.01.1970;SOEST;26.07.1972;CHILWORTH;26.08.1972;BEWDLEY;01.03.1973;BLAIRDRUM;10.11.1997;;;;;;;;;;;
854;f;23.12.1986;340;403;MUNSTER;MUNSTER;31.12.2011;25,03835616;;MUNSTER;23.12.1986;;;;;;;;;;;;;;;;;;;
855;f;10.03.1985;139;97;EDINBURGH;EDINBURGH;10.03.1985;0;stillbirth;EDINBURGH;10.03.1985;;;;;;;;;;;;;;;;;;;
856;f;12.09.1986;139;97;EDINBURGH;MARWELL;31.12.2011;25,31780822;;EDINBURGH;12.09.1986;MARWELL;06.05.1988;;;;;;;;;;;;;;;;;
859;f;23.09.1986;89;103;SOFIAZOO;DUBLIN;31.12.2011;25,28767123;;SOFIAZOO;23.09.1986;DUBLIN;11.02.2000;;;;;;;;;;;;;;;;;
862;m;06.07.1986;420;277;SD-WAP;;31.12.2011;25,50410959;;SD-WAP;06.07.1986;ZEEHANDLR;21.04.1987;GELSNKRKN;23.04.1987;BROOKER J;13.05.1988;RIEBEECK;30.05.1988;;;;;;;;;;;
863;f;09.08.1986;420;154;SD-WAP;AUGSBURG;15.10.1988;2,18630137;Infection;SD-WAP;09.08.1986;ZEEHANDLR;10.08.1988;GELSNKRKN;19.08.1988;AUGSBURG;20.08.1988;;;;;;;;;;;;;
864;m;23.09.1986;420;159;SD-WAP;SIGEAN;02.01.2006;19,29041096;unk;SD-WAP;23.09.1986;ZEEHANDLR;08.04.1990;GELSNKRKN;09.04.1990;SIGEAN;14.04.1990;;;;;;;;;;;;;
865;m;18.11.1986;111;114;USTI;CABARCENO;31.12.2011;25,13424658;;USTI;18.11.1986;CABARCENO;03.05.1993;;;;;;;;;;;;;;;;;
866;f;17.09.1986;491;496;HODENHAGN;;31.12.2011;25,30410959;;HODENHAGN;17.09.1986;FASANO;25.09.1987;TOGNI C;14.08.1988;VERGEL PK;01.01.1999;MURICA;04.10.2010;;;;;;;;;;;
868;f;15.08.1986;89;329;WHIPSNADE;MARWELL;31.12.2011;25,39452055;;WHIPSNADE;15.08.1986;MARWELL;18.08.1988;;;;;;;;;;;;;;;;;
869;m;28.10.1986;89;104;WHIPSNADE;WHIPSNADE;28.10.1986;0;stillbirth;WHIPSNADE;28.10.1986;;;;;;;;;;;;;;;;;;;
870;f;01.01.1970;wild;wild;UMFOLOZI;;01.10.1989;19,76164384;;UMFOLOZI;01.01.1970;NATAL PB;01.01.1972;DELFTS;01.03.1972;RIOLEORES;15.04.1972;AL AIN;30.12.1982;;;;;;;;;;;
886;m;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.08.1971;MOLINAR;30.07.1977;PISTOIA;10.08.1977;;;;;;;;;;;;;;;
887;f;10.08.1972;wild;wild;UMFOLOZI;PISTOIA;23.01.2003;30,4739726;euthanasia, musculoskeletal new growth, cancer;UMFOLOZI;01.09.1972;MOLINAR;30.07.1977;PISTOIA;10.08.1977;;;;;;;;;;;;;;;
888;m;03.09.1986;200;211;KATOWICE;PLAISANCE;31.12.2011;25,34246575;;KATOWICE;03.09.1986;GELSNKRKN;13.07.1989;PLAISANCE;18.07.1990;;;;;;;;;;;;;;;
891;f;01.01.1965;wild;wild;UMFOLOZI;BERLIN TP;30.10.1970;5,830136986;died in transit;UMFOLOZI;01.10.1965;SOEST;11.10.1970;BERLIN TP;14.10.1970;;;;;;;;;;;;;;;
892;m;01.01.1970;wild;wild;UMFOLOZI;DVURKRALV;12.06.1972;2,446575342;unk;UMFOLOZI;01.01.1970;DELFTS;25.04.1972;DVURKRALV;31.05.1972;;;;;;;;;;;;;;;
902;f;01.01.1980;wild;wild;NATAL SA;BUDAPEST;31.12.2011;32,01917808;;NATAL SA;01.10.1980;SOEST;01.10.1983;BUDAPEST;08.10.1983;;;;;;;;;;;;;;;
905;m;29.11.1987;491;494;HODENHAGN;;31.12.2011;24,10410959;;HODENHAGN;29.11.1987;SERRANOVA;20.04.1989;;;;;;;;;;;;;;;;;
906;m;01.12.1987;221;224;HILVARENB;;30.11.1989;2;;HILVARENB;01.12.1987;J. HOP;24.04.1989;CALARASIZ;26.04.1989;;;;;;;;;;;;;;;
907;f;25.12.1987;89;102;WHIPSNADE;ARNHEM;31.12.2011;24,03287671;;WHIPSNADE;25.12.1987;EMMEN;28.11.1991;ARNHEM;14.06.2004;;;;;;;;;;;;;;;
908;m;29.01.1987;420;157;SD-WAP;;31.12.2011;24,9369863;;SD-WAP;29.01.1987;GELSNKRKN;02.12.1987;ZEEHANDLR;02.12.1987;BROOKER J;13.05.1988;HUN GAME;20.05.1988;;;;;;;;;;;
910;f;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.01.1971;NATAL PB;01.06.1973;SOEST;30.06.1973;DVURKRALV;09.07.1973;DEMMER;12.11.1974;GRUNWALD;01.03.1984;FASANO;13.11.1985;;;;;;;
911;m;15.08.1976;111;211;DVURKRALV;DVURKRALV;15.08.1976;0;stillbirth;DVURKRALV;15.08.1976;;;;;;;;;;;;;;;;;;;
913;m;17.10.1987;MULT;241;RAMAT GAN;RAMAT GAN;31.12.2011;24,22191781;;RAMAT GAN;17.10.1987;;;;;;;;;;;;;;;;;;;
915;f;30.08.1988;491;496;HODENHAGN;HODENHAGN;27.03.1994;5,575342466;unk, musculoskeletal trauma;HODENHAGN;30.08.1988;;;;;;;;;;;;;;;;;;;
918;m;15.11.1988;89;329;WHIPSNADE;PT ST PER;13.01.1999;10,16712329;unk;WHIPSNADE;13.06.1988;PT ST PER;22.04.1992;;;;;;;;;;;;;;;;;
919;f;13.07.1988;unk;242;RAMAT GAN;;20.12.1991;3,438356164;;RAMAT GAN;13.06.1988;SINGAPORE;20.09.1989;;;;;;;;;;;;;;;;;
925;f;26.01.1988;420;277;SD-WAP;;31.03.1989;1,178082192;;SD-WAP;26.01.1988;ZEEHANDLR;04.11.1988;WINGST ZO;05.11.1988;;;;;;;;;;;;;;;
926;m;15.02.1988;420;147;SD-WAP;;01.12.1988;0,794520548;;SD-WAP;15.02.1988;GELSNKRKN;04.11.1988;ZEEHANDLR;04.11.1988;BROOKER J;01.12.1988;;;;;;;;;;;;;
927;m;21.03.1988;390;533;JACKSONVL;;31.12.2011;23,79452055;;JACKSONVL;21.03.1988;GELSNKRKN;22.03.1989;CIR ATLAS;21.06.1989;;;;;;;;;;;;;;;
929;f;04.08.1988;420;159;SD-WAP;SIGEAN;31.12.2011;23,42191781;;SD-WAP;04.08.1988;ZEEHANDLR;08.04.1990;GELSNKRKN;09.04.1990;SIGEAN;09.04.1990;;;;;;;;;;;;;
931;f;30.05.1987;405;406;PRET LICH;POZNAN;31.12.2011;24,60547945;;PRET LICH;30.05.1987;POZNAN;04.09.1997;;;;;;;;;;;;;;;;;
937;f;02.09.1988;139;97;EDINBURGH;WHIPSNADE;29.01.1990;1,408219178;euthanasia;EDINBURGH;02.09.1988;WHIPSNADE;02.09.1988;;;;;;;;;;;;;;;;;
938;f;17.10.1988;221;225;HILVARENB;HILVARENB;31.12.2011;23,21917808;;HILVARENB;17.10.1988;;;;;;;;;;;;;;;;;;;
942;m;01.01.1988;228;174;ARNHEM;;31.12.2011;24,01369863;;ARNHEM;01.01.1988;J. HOP;24.04.1989;CALARASIZ;26.04.1989;;;;;;;;;;;;;;;
943;f;11.07.1989;372;351;DVURKRALV;;31.12.2011;22,48767123;;DVURKRALV;11.07.1989;KENYA;19.12.2009;;;;;;;;;;;;;;;;;
944;m;10.09.1989;491;494;HODENHAGN;;31.12.2011;22,32054795;;HODENHAGN;10.09.1989;CIR MADR;09.11.1990;;;;;;;;;;;;;;;;;
945;m;22.05.1989;497;641;RAMAT GAN;JERUSALEM;31.12.2011;22,62465753;;RAMAT GAN;22.05.1989;JERUSALEM;02.09.1998;;;;;;;;;;;;;;;;;
946;m;27.07.1989;unk;241;RAMAT GAN;;28.11.2003;14,34794521;;RAMAT GAN;27.07.1989;CAIRO ZOO;06.10.1992;;;;;;;;;;;;;;;;;
949;f;07.05.1990;MULT;242;RAMAT GAN;RAMAT GAN;31.12.2011;21,66575342;;RAMAT GAN;07.05.1990;;;;;;;;;;;;;;;;;;;
951;m;09.03.1990;491;496;HODENHAGN;;31.12.2011;21,82739726;;HODENHAGN;09.03.1990;BORAS;02.12.1999;POMBIA;06.11.2006;;;;;;;;;;;;;;;
962;f;24.09.1990;139;97;EDINBURGH;WHIPSNADE;31.12.2011;21,28219178;;EDINBURGH;24.09.1990;WHIPSNADE;17.06.1992;;;;;;;;;;;;;;;;;
964;f;01.12.1990;221;224;HILVARENB;HILVARENB;31.12.2011;21,09589041;;HILVARENB;01.12.1990;MUNSTER;23.04.2009;HILVARENB;12.08.2009;;;;;;;;;;;;;;;
967;f;22.10.1990;340;812;MUNSTER;BLAIRDRUM;31.12.2011;21,20547945;;MUNSTER;22.10.1990;BLAIRDRUM;05.10.2011;;;;;;;;;;;;;;;;;
969;m;13.08.1991;491;494;HODENHAGN;;31.12.2011;20,39726027;;HODENHAGN;13.08.1991;ETOSHA;22.09.1996;;;;;;;;;;;;;;;;;
970;m;13.01.1991;111;114;USTI;;31.12.2011;20,97808219;;USTI;13.01.1991;DVURKRALV;16.04.1993;HORIZONTE;25.06.1996;;;;;;;;;;;;;;;
973;f;18.12.1990;89;102;WHIPSNADE;WHIPSNADE;08.11.1991;0,890410959;unk;WHIPSNADE;18.12.1990;;;;;;;;;;;;;;;;;;;
974;m;28.12.1990;89;329;WHIPSNADE;MUNSTER;31.12.2011;21,02191781;;WHIPSNADE;28.12.1990;MUNSTER;24.05.1994;;;;;;;;;;;;;;;;;
987;m;25.07.1992;491;496;HODENHAGN;CABARCENO;03.03.2011;18,61643836;euthanasia;HODENHAGN;25.06.1992;FUENGIROL;21.09.1994;CABARCENO;23.09.1994;;;;;;;;;;;;;;;
988;f;20.10.1992;491;915;HODENHAGN;CABARCENO;31.12.2011;19,20821918;;HODENHAGN;20.10.1992;FUENGIROL;21.09.1994;CABARCENO;23.09.1994;;;;;;;;;;;;;;;
989;f;25.08.1992;139;97;EDINBURGH;LISIEUX Z;15.03.2001;8,55890411;infection, cardiovascular protothecal;EDINBURGH;25.08.1992;LISIEUX Z;20.04.1994;;;;;;;;;;;;;;;;;
990;m;15.05.1992;187;157;SD-WAP;EMMEN;31.12.2011;19,64109589;;SD-WAP;15.05.1992;BERLIN TP;11.10.1994;EMMEN;14.03.2005;;;;;;;;;;;;;;;
991;f;03.10.1992;187;156;SD-WAP;BERLIN TP;26.11.1995;3,147945205;unk;SD-WAP;03.10.1992;BERLIN TP;09.10.1994;;;;;;;;;;;;;;;;;
1004;m;13.09.1993;491;494;HODENHAGN;;31.12.2011;18,30958904;;HODENHAGN;13.09.1993;;;;;;;;;;;;;;;;;;;
1005;f;25.08.1993;330;104;DUBLIN;DUBLIN;17.04.1997;3,646575342;died in transit;DUBLIN;25.08.1993;;;;;;;;;;;;;;;;;;;
1008;m;09.10.1991;221;225;HILVARENB;BARCELONA;18.07.1996;4,778082192;unk;HILVARENB;09.10.1991;FUENGIROL;08.02.1993;CIRUCS;01.03.1993;DECOMISO;01.04.1993;BARCELONA;11.02.1994;;;;;;;;;;;
1009;f;08.10.1992;221;224;HILVARENB;WOBURNLTD;31.12.2011;19,24109589;;HILVARENB;08.10.1992;WOBURNLTD;20.04.2010;;;;;;;;;;;;;;;;;
1010;m;16.11.1992;89;329;WHIPSNADE;LISIEUX Z;31.12.2011;19,13424658;;WHIPSNADE;16.11.1992;LISIEUX Z;20.04.1994;;;;;;;;;;;;;;;;;
1011;m;01.01.1988;wild;wild;UMFOLOZI;WHIPSNADE;31.12.2011;24,01369863;;UMFOLOZI;01.01.1988;WHIPSNADE;31.10.1991;;;;;;;;;;;;;;;;;
1012;f;01.01.1984;wild;wild;HLUHLUWE;KOLMARDEN;30.09.2002;18,75890411;euthanasia;HLUHLUWE;01.01.1984;KOLMARDEN;05.10.1992;;;;;;;;;;;;;;;;;
1013;m;01.01.1986;wild;wild;KRUGER;LISBON;31.12.2011;26,01369863;;KRUGER;01.01.1986;LISBON;18.09.1991;;;;;;;;;;;;;;;;;
1014;f;01.01.1984;wild;wild;KRUGER;LISBON;29.12.1998;15,00273973;infection, urinary bacterial;KRUGER;01.01.1984;LISBON;18.08.1991;;;;;;;;;;;;;;;;;
1023;f;08.01.1994;200;211;KATOWICE;KATOWICE;31.12.2011;17,9890411;;KATOWICE;08.01.1994;;;;;;;;;;;;;;;;;;;
1025;m;08.08.1992;91;651;PARIS ZOO;ARNHEM;31.12.2011;19,40821918;;PARIS ZOO;08.08.1992;LISIEUX Z;28.11.1995;HILVARENB;21.06.2000;ARNHEM;30.05.2007;;;;;;;;;;;;;
1026;f;01.07.1994;139;97;EDINBURGH;KNOWSLEY;31.12.2011;17,51232877;;EDINBURGH;01.07.1994;KNOWSLEY;02.04.1996;;;;;;;;;;;;;;;;;
1028;f;17.09.1993;487;641;RAMAT GAN;RAMAT GAN;09.10.2002;9,065753425;infection;RAMAT GAN;17.09.1993;;;;;;;;;;;;;;;;;;;
1029;m;10.12.1993;111;114;USTI;POZNAN;31.12.2011;18,06849315;;USTI;10.12.1993;POZNAN;01.06.1995;;;;;;;;;;;;;;;;;
1043;f;01.11.1994;491;496;HODENHAGN;;31.12.2011;17,17534247;;HODENHAGN;01.11.1994;;;;;;;;;;;;;;;;;;;
1047;f;25.11.1994;89;329;WHIPSNADE;HILVARENB;31.12.2011;17,10958904;;WHIPSNADE;25.11.1994;HILVARENB;24.04.2009;;;;;;;;;;;;;;;;;
1048;m;08.09.1994;221;225;HILVARENB;BEAUVAL;31.12.2011;17,32328767;;HILVARENB;08.09.1994;ARNHEM;05.11.1997;BEAUVAL;07.06.2006;;;;;;;;;;;;;;;
1049;m;26.01.1991;MULT;241;RAMAT GAN;BUDAPEST;31.12.2011;20,94246575;;RAMAT GAN;26.01.1991;BUDAPEST;24.11.2010;;;;;;;;;;;;;;;;;
1050;m;04.02.1992;unk;641;RAMAT GAN;RAMAT GAN;05.02.1992;0,002739726;Injury from exhibit mate;RAMAT GAN;04.02.1992;;;;;;;;;;;;;;;;;;;
1060;m;01.01.1992;wild;wild;NATAL SA;BEWDLEY;18.02.2010;18,14520548;unk;NATAL SA;01.01.1992;BEWDLEY;29.08.1995;;;;;;;;;;;;;;;;;
1061;f;01.01.1992;wild;wild;NATAL SA;;31.12.2011;20,0109589;;NATAL SA;01.01.1992;BEWDLEY;29.09.1995;MALLORCA;01.05.2007;;;;;;;;;;;;;;;
1062;f;01.01.1992;wild;wild;NATAL SA;BEWDLEY;31.12.2011;20,0109589;;NATAL SA;01.01.1992;BEWDLEY;29.08.1995;;;;;;;;;;;;;;;;;
1064;m;16.01.1996;221;224;HILVARENB;SO LAKES;31.12.2011;15,96712329;;HILVARENB;16.01.1996;SO LAKES;23.03.1999;;;;;;;;;;;;;;;;;
1082;f;01.01.1990;wild;wild;UMFOLOZI;JERUSALEM;06.05.2001;11,35068493;anesth/restraint;UMFOLOZI;01.01.1990;NATAL PB;18.05.1995;JERUSALEM;10.10.1995;;;;;;;;;;;;;;;
1083;f;01.01.1993;wild;wild;UMFOLOZI;RAMAT GAN;31.12.2011;19,00821918;;UMFOLOZI;01.01.1993;NATAL PB;24.04.1994;JERUSALEM;10.10.1995;RAMAT GAN;02.09.2003;;;;;;;;;;;;;
1084;f;28.03.1996;487;641;RAMAT GAN;RAMAT GAN;19.05.1996;0,142465753;infection;RAMAT GAN;28.03.1996;;;;;;;;;;;;;;;;;;;
1085;m;01.01.1967;wild;wild;UMFOLOZI;AYWAILLE;21.12.1981;14,98082192;sold to an institution;UMFOLOZI;01.01.1968;STOCKBRID;15.01.1973;AYWAILLE;01.05.1975;;;;;;;;;;;;;;;
1086;m;01.01.1967;wild;wild;UMFOLOZI;AYWAILLE;05.02.2010;43,1260274;old age;UMFOLOZI;01.01.1968;STOCKBRID;15.01.1973;AYWAILLE;01.05.1975;;;;;;;;;;;;;;;
1095;m;01.01.1970;wild;wild;UMFOLOZI;KESSINGLA;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;NATAL PB;01.02.1973;CHILWORTH;05.03.1973;LAMBTON;10.03.1973;WOBURNLTD;14.03.1981;KESSINGLA;14.12.2000;;;;;;;;;
1119;m;01.01.1992;wild;wild;NATAL SA;KNOWSLEY;31.12.2011;20,0109589;;NATAL SA;18.08.1992;KNOWSLEY;30.08.1995;;;;;;;;;;;;;;;;;
1120;f;01.01.1990;wild;wild;NATAL SA;KNOWSLEY;31.12.2011;22,0109589;;NATAL SA;01.01.1992;KNOWSLEY;30.08.1995;;;;;;;;;;;;;;;;;
1121;f;01.01.1990;wild;wild;NATAL SA;KNOWSLEY;31.12.2011;22,0109589;;NATAL SA;01.01.1992;KNOWSLEY;30.08.1995;;;;;;;;;;;;;;;;;
1122;f;18.07.1991;372;351;DVURKRALV;DVURKRALV;18.07.1991;0;Premature birth;DVURKRALV;18.07.1991;;;;;;;;;;;;;;;;;;;
1123;f;01.01.1948;wild;wild;SUDAN;;02.08.1967;19,59726027;;SUDAN;01.01.1963;KHARTOUM;01.04.1964;;;;;;;;;;;;;;;;;
1125;f;16.10.1996;491;496;HODENHAGN;KESSINGLA;31.12.2011;15,21643836;;HODENHAGN;16.10.1996;TABERNAS;25.08.2000;KESSINGLA;15.09.2011;;;;;;;;;;;;;;;
1126;?;18.10.1979;93;141;COPENHAGE;COPENHAGE;18.10.1979;0;Premature birth;COPENHAGE;18.10.1979;;;;;;;;;;;;;;;;;;;
1127;?;15.04.1982;93;140;COPENHAGE;COPENHAGE;15.04.1982;0;Premature birth;COPENHAGE;15.04.1982;;;;;;;;;;;;;;;;;;;
1143;f;02.09.1996;139;97;EDINBURGH;EDINBURGH;02.09.1996;0;unk;EDINBURGH;02.09.1996;;;;;;;;;;;;;;;;;;;
1147;m;22.07.1995;491;494;HODENHAGN;HODENHAGN;24.07.1995;0,005479452;infection;HODENHAGN;22.07.1995;;;;;;;;;;;;;;;;;;;
1153;m;01.01.1984;wild;wild;NAMIBIA;BRATISLAV;16.04.2000;16,30136986;unk, cardiovascular circulatory;NAMIBIA;01.01.1984;DELFTS;30.04.1986;BRATISLAV;05.09.1986;LAVAL;05.09.1986;BRATISLAV;16.04.2000;;;;;;;;;;;
1154;f;01.01.1984;wild;wild;NAMIBIA;BRATISLAV;31.12.2011;28,01643836;;NAMIBIA;01.01.1984;DELFTS;30.04.1986;LAVAL;04.09.1986;BRATISLAV;05.09.1986;;;;;;;;;;;;;
1155;f;01.01.1984;wild;wild;NAMIBIA;BRATISLAV;16.04.2006;22,30410959;infection;NAMIBIA;01.01.1984;DELFTS;30.04.1986;BRATISLAV;05.09.1986;LAVAL;05.09.1986;BRATISLAV;16.04.2006;;;;;;;;;;;
1156;m;18.03.1996;343;907;EMMEN;;31.12.2011;15,79726027;;EMMEN;18.03.1996;WERRIBEE;20.12.1997;;;;;;;;;;;;;;;;;
1157;f;23.12.1996;491;494;HODENHAGN;;31.12.2011;15,03013699;;HODENHAGN;23.12.1996;POMBIA;08.11.2006;;;;;;;;;;;;;;;;;
1158;f;01.01.1967;wild;wild;UMFOLOZI;DVURKRALV;28.09.1970;3,742465753;Environ/Behav condition;UMFOLOZI;15.10.1967;SOEST;07.09.1970;DVURKRALV;09.09.1970;;;;;;;;;;;;;;;
1165;m;29.09.1997;404;988;CABARCENO;HILVARENB;31.12.2011;14,2630137;;CABARCENO;29.09.1997;HILVARENB;24.11.2004;;;;;;;;;;;;;;;;;
1170;m;15.01.1997;11;1012;KOLMARDEN;KOLMARDEN;19.06.1998;1,424657534;unk;KOLMARDEN;15.01.1997;;;;;;;;;;;;;;;;;;;
1171;f;06.02.1997;1011;962;WHIPSNADE;BORAS;31.12.2011;14,90684932;;WHIPSNADE;06.02.1997;BORAS;16.12.1999;;;;;;;;;;;;;;;;;
1173;m;08.04.1997;1011;329;WHIPSNADE;SO LAKES;31.12.2011;14,73972603;;WHIPSNADE;08.04.1997;SO LAKES;23.03.1999;;;;;;;;;;;;;;;;;
1174;f;01.01.1994;wid;wild;HLUHLUWE;BEWDLEY;31.12.2011;18,00821918;;HLUHLUWE;01.01.1994;BEWDLEY;24.11.1997;;;;;;;;;;;;;;;;;
1175;f;01.01.1992;wild;wild;HLUHLUWE;WHIPSNADE;31.12.2011;20,0109589;;HLUHLUWE;01.01.1992;BEWDLEY;24.11.1997;WHIPSNADE;02.11.2011;;;;;;;;;;;;;;;
1178;f;10.10.1988;340;403;MUNSTER;MUNSTER;10.10.1988;0;Environ/Behav condition;MUNSTER;10.10.1988;;;;;;;;;;;;;;;;;;;
1183;m;27.02.1998;343;907;EMMEN;KOLMARDEN;31.12.2011;13,84931507;;EMMEN;27.02.1988;BEAUVAL;15.04.2000;KOLMARDEN;31.05.2006;;;;;;;;;;;;;;;
1184;m;11.02.1995;11;1012;KOLMARDEN;KOLMARDEN;20.02.1995;0,024657534;euthanasia;KOLMARDEN;11.02.1995;;;;;;;;;;;;;;;;;;;
1187;m;09.09.1974;70;100;WHIPSNADE;WHIPSNADE;10.09.1974;0,002739726;euthanasia;WHIPSNADE;09.09.1974;;;;;;;;;;;;;;;;;;;
1188;f;07.10.1974;70;97;WHIPSNADE;WHIPSNADE;07.10.1974;0;unk;WHIPSNADE;07.10.1974;;;;;;;;;;;;;;;;;;;
1189;m;08.12.1974;70;106;WHIPSNADE;WHIPSNADE;09.12.1974;0,002739726;unk;WHIPSNADE;08.12.1974;;;;;;;;;;;;;;;;;;;
1190;f;22.12.1976;70;102;WHIPSNADE;WHIPSNADE;23.12.1976;0,002739726;unk;WHIPSNADE;22.12.1976;;;;;;;;;;;;;;;;;;;
1191;f;01.01.1969;wild;wild;UMFOLOZI;;31.12.2011;43,02465753;;UMFOLOZI;01.01.1970;NATAL PB;01.02.1973;CHILWORTH;05.03.1973;LAMBTON;10.03.1973;WOBURNLTD;14.03.1981;JOHORE;31.12.1981;;;;;;;;;
